menu.products|Produkte
menu.settings|Einstellungen
menu.logs|Logs
menu.orders|Bestellungen
menu.help|Hilfe
module.name|Lengow
global.just_yes|Ja
global.just_no|Nein
header.debug_active|Debug Mode
header.counter|Testzeitraum: %{counter} Tag(e) verbleiben.
header.upgrade_account|Jetzt anmelden!
header.new_version_available|Eine neue Version %{version} ist verfügbar!
header.download_plugin|Herunterladen
footer.toolbox|Toolbox
footer.legals|Rechtshinweise
footer.plugin_lengow|Lengow Magento Plugin
footer.lengow_link_url|http://www.lengow.com/de
connection.home.description_first|Lengow hilft Ihnen, Ihr Online-Business weltweit zu optimieren!
connection.home.description_second|Über die Plattform können Sie Ihren Produktkatalog automatisch auf Marktplätzen, Preisvergleichsportalen, Affiliate-Netzwerken, Retargeting-Kampagnen und Social Media veröffentlichen.
connection.home.description_third|Testen Sie Ihre Möglichkeiten für internationales Wachstum mit 1.600 Vertriebskanälen in 42 verschiedenen Ländern.
connection.home.description_fourth|Nur noch ein Schritt bis zur Installation Ihres Lengow-Plugins für Magento
connection.home.button|Verbinden Sie meinen Magento mit Lengow
connection.home.no_account|Sie haben noch kein Lengow-Konto?
connection.home.no_account_sign_up|Dann registrieren Sie sich kostenlos
connection.cms.credentials_title|Bitte geben Sie Ihre API Lengow-Zugangsdaten ein
connection.cms.credentials_description|Sie finden diese Zugangsdaten in Ihren Kontoeinstellungen, Abschnitt "A.P.I"
connection.cms.credentials_help|Brauchen Sie Hilfe?
connection.cms.credentials_help_center|Besuchen Sie unser Help-Center
connection.cms.credentials_help_center_url|https://support.lengow.com/kb/de
connection.cms.credentials_button|Mit Lengow verbinden
connection.cms.credentials_button_loading|Verbinden...
connection.cms.credentials_placeholder_access_token|Geben Sie Ihr API-Key ein
connection.cms.credentials_placeholder_secret|Geben Sie Ihr Geheim ein
connection.cms.success_title|Gut gemacht! Lengow ist nun mit Ihrem Magento verbunden
connection.cms.success_description_first|Sie können jetzt das Plugin nutzen, Ihre Produkte konfigurieren und Ihre Marktplatz-Bestellungen einsehen.
connection.cms.success_description_second|Um Ihren Katalog zu importieren und Ihre Kanäle zu konfigurieren,
connection.cms.success_description_second_go_to_lengow|melden Sie sich bei Lengow an.
connection.cms.success_button|Zum Dashboard
connection.cms.success_description_first_catalog|Ein letzter Schritt, um die Installation abzuschließen:
connection.cms.success_description_second_catalog|Verknüpfen Sie Ihre Lengow-Kataloge mit Ihren Magento-Shops.
connection.cms.success_button_catalog|Kataloge verknüpfen
connection.cms.failed_title|Ooops! Die Verbindung zwischen Ihrem Magento und Lengow konnte nicht hergestellt werden
connection.cms.failed_description|Wir waren nicht in der Lage, die Verbindung zwischen Ihrem xxx und Lengow herzustellen.
connection.cms.failed_description_first_credentials|Die Verbindung kann nicht mit den angegebenen Anmeldeinformationen hergestellt werden.
connection.cms.failed_description_second_credentials_prod|Bitte überprüfen Sie, ob diese Anmeldedaten mit der Produktionsumgebung von Lengow übereinstimmen.
connection.cms.failed_description_second_credentials_preprod|Bitte überprüfen Sie, ob diese Anmeldedaten mit der Vorproduktionsumgebung von Lengow übereinstimmen.
connection.cms.failed_help|Wenn das Problem weiterhin besteht, schauen Sie doch einmal in den
connection.cms.failed_help_center|"Magento guide"
connection.cms.failed_help_or|oder kontaktieren Sie unser
connection.cms.failed_help_customer_success_team|"Customer Success Team"
connection.cms.failed_button|Wiederholen
connection.catalog.link_title|Verknüpfen Sie Ihre Filialen mit Lengow
connection.catalog.link_description|Um alle Ihre bestehenden Konfigurationen (Bestellungen, Produkte etc.) abzurufen, verknüpfen Sie die folgenden Magento-Shops direkt mit Ihrem(n) Lengow-Katalog(en).
connection.catalog.link_catalog_avalaible|Kataloge sind vorhanden und nicht mit einem cms in Lengow verknüpft.
connection.catalog.link_button|Speichern Sie und gehen Sie zum Dashboard
connection.catalog.link_button_loading|Speichern in Arbeit...
connection.catalog.link_placeholder_catalog|Wählen Sie einen Katalog aus
connection.catalog.failed_title|Ooops! Ihre Kataloge konnten nicht in Lengow verlinkt werden
connection.catalog.failed_description_first|Wir konnten Ihre Kataloge nicht mit Lengow verknüpfen.
connection.catalog.failed_description_second|Sie können es erneut versuchen oder die IDs der Kataloge direkt in den Plugin-Einstellungen eingeben.
dashboard.screen.welcome_back| Hallo und herzlich willkommen!
dashboard.screen.go_to_lengow| Zu Lengow wechseln
dashboard.screen.products_title|Produkte
dashboard.screen.products_text| Alle verfügbaren Produkte im Überblick, um Ihren Katalog vorzubereiten  
dashboard.screen.orders_title|Bestellungen
dashboard.screen.orders_text|Verwalten Sie Ihre Bestellungen direkt in Ihrem Magento-Dashboard
dashboard.screen.settings_title|Einstellungen
dashboard.screen.settings_text|Konfigurieren Sie Ihr Magento-Plugin 
dashboard.screen.some_help_title|Benötigen Sie Hilfe?
dashboard.screen.get_in_touch|Kontaktieren Sie Lengow
dashboard.screen.visit_help_center|Schauen Sie im Help Center
dashboard.screen.configure_plugin|um detaillierte Informationen zu der korrekten Einrichtung des Magento-Plugins zu finden
status.screen.title_end_free_trial|Alle guten Dinge haben ein Ende
status.screen.subtitle_end_free_trial|Ihr Testzeitraum ist nun abgelaufen
status.screen.first_description_end_free_trial|Ihr 15-tägiger Testzeitraum ist nun abgelaufen. Wir wissen, dass es traurige Neuigkeiten sind, aber das Beste kommt erst noch. Wir hoffen aufrichtig, dass Lengow zu Ihrem Unternehmenserfolg beitragen konnte.
status.screen.second_description_end_free_trial|Ihr Account wird gesperrt, bis Sie eine neue Lizenz erwerben. Dies gilt auch für bereits erstellte Verteilungen und Imports!
status.screen.third_description_end_free_trial|Ihr Trial-Account wird 30 Tage nach dem Ende Ihres Test-Zeitraums automatisch gelöscht. Gehen Sie auf Nummer sicher und melden Sie sich an - nur so sichern Sie Ihre bereits geleistete Arbeit an Ihren Kanälen.
status.screen.upgrade_account_button|Ich bin bereit mich anzumelden!
status.screen.refresh_action| Meinen Account aktualisieren
product.screen.title|Produkt exportieren
product.screen.nb_exported|Produkte exportiert
product.screen.nb_available|Produkte verfügbar
product.screen.include_specific_product|Spezifische Produkte einbeziehen
product.screen.include_specific_product_support|Verwenden Sie diese Option, um Ihre Produkte einzeln auszuwählen
product.screen.button_download|Download
product.table.id|ID
product.table.name|Name
product.table.custom_name|Name im %{store_name}
product.table.type|Typ
product.table.attribut_set_name|Kategorie
product.table.sku|SKU
product.table.price|Preis
product.table.quantity|Anzahl
product.table.visibility|Visibilität
product.table.status|Status
product.table.websites|Website
product.table.publish_on_lengow|Im Export inkludieren?
