menu.products|Produits
menu.settings|Paramètres
menu.logs|Logs
menu.orders|Commandes
menu.help|Aide
module.name|Lengow
global.just_yes|Oui
global.just_no|Non
header.preprod_active|Mode préproduction 
header.counter|Période d'essai : %{counter} jour(s) restant(s).
header.upgrade_account|Souscrire
footer.toolbox|Toolbox
footer.legals|Mentions légales
footer.plugin_lengow|Lengow Magento Module
footer.lengow_link_url|http://www.lengow.com/fr/
dashboard.screen.welcome_back|Bonjour ! Bienvenue parmi nous !
dashboard.screen.go_to_lengow|Aller sur la plateforme Lengow
dashboard.screen.products_title|Produits
dashboard.screen.products_text|Consulter tous vos produits disponibles pour préparer votre catalogue
dashboard.screen.orders_title|Commandes
dashboard.screen.orders_text|Gérer vos commandes directement sur votre tableau de bord Magento.
dashboard.screen.settings_title|Paramètres
dashboard.screen.settings_text|Configurer les principaux paramètres de votre plugin Magento
dashboard.screen.partner_business|Lengow, partenaire de votre activité e-commerce
dashboard.screen.stat_turnover|Chiffre d'affaires
dashboard.screen.stat_nb_orders|Commandes
dashboard.screen.stat_more_stats|Plus de statistiques ?
dashboard.screen.some_help_title|Besoin d'aide ?
dashboard.screen.get_in_touch|Prenez contact avec les équipes Lengow.
dashboard.screen.visit_help_center|Visitez notre Help Center
dashboard.screen.configure_plugin|pour plus d'informations sur la configuration de votre plugin Magento
status.screen.title_end_free_trial|Toutes les bonnes choses ont une fin...
status.screen.subtitle_end_free_trial|Vous avez atteint la fin de votre période d'essai !
status.screen.first_description_end_free_trial|Vos 15 jours d'essai gratuit sur la plateforme Lengow sont maintenant terminés. Nous espérons qu'ils ont été bénéfiques à votre activité e-commerce.
status.screen.second_description_end_free_trial|Votre compte va être désactivé jusqu'à ce que vous souscriviez à un abonnement sur la plateforme Lengow. Toutes les diffusions en cours ainsi que les importations vont être momentanément stoppées.
status.screen.third_description_end_free_trial|Votre compte d'essai sera supprimé 30 jours après expiration. Pour conserver l'intégralité des paramètres que vous avez défini, pensez à souscrire dès maintenant !
status.screen.subtitle_bad_payer|Votre compte est temporairement fermé
status.screen.first_description_bad_payer|Nous sommes désolé mais nous devons temporairement limiter l'accès à votre compte car le paiement automatique de votre abonnement n'a pu se faire.
status.screen.second_description_bad_payer|La publication de vos catalogues est aussi suspendue. Nous vous recommandons de prendre contact avec nous rapidement par mail
status.screen.phone_bad_payer|ou par téléphone au +33 (0)2 85 52 64 15
status.screen.third_description_bad_payer|Nous espérons vous revoir très rapidement parmi nous.
status.screen.facturation_button|Voir mes informations de facturation
status.screen.upgrade_account_button|Je suis prêt à souscrire !
status.screen.refresh_action|Actualiser mon compte
product.screen.title|Exporter les produits 
product.screen.nb_exported|produits exportés 
product.screen.nb_available|produits disponibles
product.screen.include_specific_product|Inclure une sélection de produits
product.screen.include_specific_product_support|Utilisez cette option pour sélectionner vos produits individuellement
product.screen.button_download|Télécharger
product.table.id|ID
product.table.name|Nom
product.table.custom_name|Nom en %{store_name}
product.table.type|Type
product.table.attribut_set_name|Catégorie
product.table.sku|SKU
product.table.price|Prix
product.table.quantity|Quantité
product.table.visibility|Visibilité
product.table.status|Statut 
product.table.websites|Site web
product.table.publish_on_lengow|Inclure dans l'export ?
product.table.change_publication|Modifier la publication Lengow.
product.table.publication|Publication
order.screen.title|Commandes
order.screen.button_import|Synchroniser les commandes
order.screen.button_migrate|Ne plus afficher ce message
order.screen.preprod_warning_message|Vous êtes en mode préproduction. Vous pouvez importer vos commandes mais les interactions avec Lengow ne sont pas possibles. <a href=%{url}>Retourner en mode production ?</a>
order.screen.nb_old_order_imported|Avec Lengow, vous avez déjà importé et traité %{nb_order} commandes
